model,outer_fold,feature,feature_index,grid_value,prediction_mean,prediction_std,n_samples
XGBoost+PseudoHuber,,year,0,-0.9705002587889218,14194.3623046875,6669.673828125,200
XGBoost+PseudoHuber,,year,0,-0.8443178581866605,14194.3623046875,6669.673828125,200
XGBoost+PseudoHuber,,year,0,-0.7181354575843992,14194.3623046875,6669.673828125,200
XGBoost+PseudoHuber,,year,0,-0.591953056982138,14194.3623046875,6669.673828125,200
XGBoost+PseudoHuber,,year,0,-0.4657706563798767,15711.1025390625,7325.90087890625,200
XGBoost+PseudoHuber,,year,0,-0.33958825577761553,15711.1025390625,7325.90087890625,200
XGBoost+PseudoHuber,,year,0,-0.21340585517535415,15711.1025390625,7325.90087890625,200
XGBoost+PseudoHuber,,year,0,-0.08722345457309277,15711.1025390625,7325.90087890625,200
XGBoost+PseudoHuber,,year,0,0.038958946029168384,16784.20703125,7801.56591796875,200
XGBoost+PseudoHuber,,year,0,0.16514134663142954,16784.20703125,7801.56591796875,200
XGBoost+PseudoHuber,,year,0,0.2913237472336909,16784.20703125,7801.56591796875,200
XGBoost+PseudoHuber,,year,0,0.4175061478359523,16784.20703125,7801.56591796875,200
XGBoost+PseudoHuber,,year,0,0.5436885484382135,18036.775390625,8103.03076171875,200
XGBoost+PseudoHuber,,year,0,0.6698709490404746,18036.775390625,8103.03076171875,200
XGBoost+PseudoHuber,,year,0,0.7960533496427358,18036.775390625,8103.03076171875,200
XGBoost+PseudoHuber,,year,0,0.9222357502449973,20207.345703125,8893.5087890625,200
RandomForest+PseudoHuber,,model,5,8127.592255664954,9783.321028599648,2921.842405487662,200
RandomForest+PseudoHuber,,model,5,9294.135194357748,11736.399509696084,3343.422842102325,200
RandomForest+PseudoHuber,,model,5,10460.678133050542,12920.3184010715,4503.1888924075565,200
RandomForest+PseudoHuber,,model,5,11627.221071743335,13929.817156270503,4584.2050698810845,200
RandomForest+PseudoHuber,,model,5,12793.76401043613,14500.175107867177,4310.995632046983,200
RandomForest+PseudoHuber,,model,5,13960.306949128924,15067.251627613148,4497.397487802017,200
RandomForest+PseudoHuber,,model,5,15126.849887821718,16306.548892291119,4945.413051600896,200
RandomForest+PseudoHuber,,model,5,16293.392826514511,16375.183838706724,4824.221845176761,200
RandomForest+PseudoHuber,,model,5,17459.935765207305,18326.96933767774,4858.389853256612,200
RandomForest+PseudoHuber,,model,5,18626.4787039001,17803.229291752097,6773.636697598627,200
RandomForest+PseudoHuber,,model,5,19793.021642592892,19016.579086675923,7267.676964707089,200
RandomForest+PseudoHuber,,model,5,20959.56458128569,19838.322858493215,6258.6349962554195,200
RandomForest+PseudoHuber,,model,5,22126.107519978483,20228.944838301148,6353.559184229779,200
RandomForest+PseudoHuber,,model,5,23292.650458671276,21757.458538350835,7041.085913384599,200
RandomForest+PseudoHuber,,model,5,24459.19339736407,21686.92395636644,7415.080041479364,200
RandomForest+PseudoHuber,,model,5,25625.736336056863,21265.889921279784,6912.095439062869,200
RandomForest+PseudoHuber,,model,5,26792.279274749657,21664.963442806293,7172.986709741521,200
RandomForest+PseudoHuber,,model,5,27958.82221344245,22472.105784067215,6580.953373693253,200
RandomForest+PseudoHuber,,model,5,29125.365152135244,22814.339698754688,6364.883385178743,200
RandomForest+PseudoHuber,,model,5,30291.908090828038,24288.872501536665,7554.784228520115,200
RandomForest+PseudoHuber,,transmission,6,12112.895323294031,16066.008656412656,7986.669961782115,200
RandomForest+PseudoHuber,,transmission,6,12753.307929811079,16066.008656412656,7986.669961782115,200
RandomForest+PseudoHuber,,transmission,6,13393.720536328126,16066.008656412656,7986.669961782115,200
RandomForest+PseudoHuber,,transmission,6,14034.133142845174,16066.008656412656,7986.669961782115,200
RandomForest+PseudoHuber,,transmission,6,14674.54574936222,16301.158357906868,7919.79576016952,200
RandomForest+PseudoHuber,,transmission,6,15314.95835587927,16301.15835790687,7919.795760169521,200
RandomForest+PseudoHuber,,transmission,6,15955.370962396315,16301.158357906868,7919.795760169521,200
RandomForest+PseudoHuber,,transmission,6,16595.783568913364,16301.158357906868,7919.795760169521,200
RandomForest+PseudoHuber,,transmission,6,17236.19617543041,17142.539545546857,8147.8623364726545,200
RandomForest+PseudoHuber,,transmission,6,17876.608781947456,17142.539545546853,8147.8623364726545,200
RandomForest+PseudoHuber,,transmission,6,18517.021388464505,17144.488384044136,8146.88492134898,200
RandomForest+PseudoHuber,,transmission,6,19157.43399498155,17623.06103089524,8544.420170829559,200
RandomForest+PseudoHuber,,transmission,6,19797.8466014986,17623.06103089524,8544.420170829559,200
RandomForest+PseudoHuber,,transmission,6,20438.259208015646,17623.06103089524,8544.420170829559,200
RandomForest+PseudoHuber,,transmission,6,21078.671814532696,17623.06103089524,8544.420170829559,200
RandomForest+PseudoHuber,,transmission,6,21719.08442104974,17623.06103089524,8544.420170829559,200
RandomForest+PseudoHuber,,transmission,6,22359.497027566787,17623.06103089524,8544.420170829559,200
RandomForest+PseudoHuber,,transmission,6,22999.909634083837,17670.654860319573,8505.181059020959,200
RandomForest+PseudoHuber,,transmission,6,23640.322240600886,17670.654860319573,8505.181059020959,200
RandomForest+PseudoHuber,,transmission,6,24280.734847117932,17670.654860319573,8505.181059020959,200
RandomForest+PseudoHuber,,fuelType,7,14775.415222188003,17035.69191765832,8739.454201528904,200
RandomForest+PseudoHuber,,fuelType,7,15015.597026136249,17035.69191765832,8739.454201528904,200
RandomForest+PseudoHuber,,fuelType,7,15255.778830084493,17035.69191765832,8739.454201528904,200
RandomForest+PseudoHuber,,fuelType,7,15495.96063403274,17035.69191765832,8739.454201528904,200
RandomForest+PseudoHuber,,fuelType,7,15736.142437980985,17035.69191765832,8739.454201528904,200
RandomForest+PseudoHuber,,fuelType,7,15976.32424192923,17036.18735351126,8739.292906518172,200
RandomForest+PseudoHuber,,fuelType,7,16216.506045877475,17053.363001410762,8763.677968814429,200
RandomForest+PseudoHuber,,fuelType,7,16456.68784982572,17053.363001410762,8763.677968814429,200
RandomForest+PseudoHuber,,fuelType,7,16696.869653773967,17053.363001410766,8763.677968814429,200
RandomForest+PseudoHuber,,fuelType,7,16937.051457722213,17053.363001410762,8763.677968814429,200
RandomForest+PseudoHuber,,fuelType,7,17177.23326167046,17169.965472180083,8891.061613272333,200
RandomForest+PseudoHuber,,fuelType,7,17417.4150656187,17169.965472180083,8891.061613272333,200
RandomForest+PseudoHuber,,fuelType,7,17657.596869566947,17169.965472180083,8891.061613272333,200
RandomForest+PseudoHuber,,fuelType,7,17897.778673515193,17169.965472180083,8891.061613272333,200
RandomForest+PseudoHuber,,fuelType,7,18137.96047746344,17169.968543406503,8891.059245473973,200
RandomForest+PseudoHuber,,fuelType,7,18378.142281411685,17203.3038556801,8900.350138690026,200
RandomForest+PseudoHuber,,fuelType,7,18618.324085359927,17197.81148866749,8884.040510335532,200
RandomForest+PseudoHuber,,fuelType,7,18858.505889308173,17197.81148866749,8884.040510335532,200
RandomForest+PseudoHuber,,fuelType,7,19098.68769325642,17197.81148866749,8884.04051033553,200
RandomForest+PseudoHuber,,fuelType,7,19338.869497204665,17050.424430044528,8813.523757246912,200
RandomForest+PseudoHuber,,mpg,3,-1.8711137557899489,19038.4420831251,9214.360099655907,200
RandomForest+PseudoHuber,,mpg,3,-1.7010545080567665,18995.94923408246,9189.795942736893,200
RandomForest+PseudoHuber,,mpg,3,-1.530995260323584,19014.341210518967,9027.64269467365,200
RandomForest+PseudoHuber,,mpg,3,-1.3609360125904015,18460.564981524145,8842.818001767264,200
RandomForest+PseudoHuber,,mpg,3,-1.1908767648572192,18418.69175968363,8839.195562850611,200
RandomForest+PseudoHuber,,mpg,3,-1.0208175171240366,17732.386257673734,8689.702649272314,200
RandomForest+PseudoHuber,,mpg,3,-0.8507582693908542,17651.41654572264,8755.4688156501,200
RandomForest+PseudoHuber,,mpg,3,-0.6806990216576716,17355.084737185094,8648.14786002354,200
RandomForest+PseudoHuber,,mpg,3,-0.5106397739244892,17209.931003656417,8565.406378369315,200
RandomForest+PseudoHuber,,mpg,3,-0.34058052619130685,16897.008940846987,8238.09300176545,200
RandomForest+PseudoHuber,,mpg,3,-0.17052127845812426,16812.346419953203,8127.41029367113,200
RandomForest+PseudoHuber,,mpg,3,-0.00046203072494188646,16750.563015348373,8335.2193131225,200
RandomForest+PseudoHuber,,mpg,3,0.1695972170082405,16721.836405959053,8346.176031912968,200
RandomForest+PseudoHuber,,mpg,3,0.3396564647414231,16664.415574264433,8356.32544837984,200
RandomForest+PseudoHuber,,mpg,3,0.5097157124746057,16621.22507904853,8194.273244341384,200
RandomForest+PseudoHuber,,mpg,3,0.6797749602077878,16522.61592160864,8112.406958236834,200
RandomForest+PseudoHuber,,mpg,3,0.8498342079409704,16417.974786854695,8075.812592824927,200
RandomForest+PseudoHuber,,mpg,3,1.019893455674153,16270.52215787959,8064.89935000633,200
RandomForest+PseudoHuber,,mpg,3,1.1899527034073352,16321.83803869802,8292.375724309784,200
RandomForest+PseudoHuber,,mpg,3,1.3600119511405178,16177.619965007778,8126.2132849885475,200
RandomForest+PseudoHuber,,mileage,1,-1.705696760776219,18867.24500553816,8946.507206720084,200
RandomForest+PseudoHuber,,mileage,1,-1.536557573033899,18760.35943293207,8952.401926089573,200
RandomForest+PseudoHuber,,mileage,1,-1.3674183852915789,18682.898834903113,8824.740862646659,200
RandomForest+PseudoHuber,,mileage,1,-1.1982791975492586,18538.809545990367,8895.905410307583,200
RandomForest+PseudoHuber,,mileage,1,-1.0291400098069385,18329.801860536496,8655.180334399478,200
RandomForest+PseudoHuber,,mileage,1,-0.8600008220646185,18114.88065425702,8503.563310461337,200
RandomForest+PseudoHuber,,mileage,1,-0.6908616343222982,17874.405694603538,8330.366586436601,200
RandomForest+PseudoHuber,,mileage,1,-0.5217224465799781,17710.89285998432,8227.699094639229,200
RandomForest+PseudoHuber,,mileage,1,-0.35258325883765806,17442.361417965945,8170.087922736628,200
RandomForest+PseudoHuber,,mileage,1,-0.183444071095338,17059.44102996079,7931.95276508625,200
RandomForest+PseudoHuber,,mileage,1,-0.014304883353017939,16899.1180560426,7905.339556868455,200
RandomForest+PseudoHuber,,mileage,1,0.15483430438930235,16717.770594755282,7881.115775882286,200
RandomForest+PseudoHuber,,mileage,1,0.32397349213162263,16433.627439864347,7676.197249222522,200
RandomForest+PseudoHuber,,mileage,1,0.49311267987394247,16185.846505195792,7591.175111476621,200
RandomForest+PseudoHuber,,mileage,1,0.6622518676162628,15966.902380001076,7601.137095008045,200
RandomForest+PseudoHuber,,mileage,1,0.8313910553585826,15660.700394780893,7423.894907759194,200
RandomForest+PseudoHuber,,mileage,1,1.0005302431009029,15388.099638730371,7341.1763394635855,200
RandomForest+PseudoHuber,,mileage,1,1.1696694308432232,15171.501359485346,7340.53306507291,200
RandomForest+PseudoHuber,,mileage,1,1.338808618585543,14983.995217562913,7325.0157474425105,200
RandomForest+PseudoHuber,,mileage,1,1.5079478063278635,14813.824679374728,7315.674431943647,200
RandomForest+PseudoHuber,,engineSize,4,-1.3605748787242282,15766.197927987218,7394.787728799787,200
RandomForest+PseudoHuber,,engineSize,4,-1.1801035877182056,15718.421436873508,7422.770613521851,200
RandomForest+PseudoHuber,,engineSize,4,-0.9996322967121827,15708.063523422234,7444.694997899291,200
RandomForest+PseudoHuber,,engineSize,4,-0.8191610057061599,15741.725400913143,7451.78783719767,200
RandomForest+PseudoHuber,,engineSize,4,-0.6386897147001371,15979.02455597065,7607.260577160874,200
RandomForest+PseudoHuber,,engineSize,4,-0.45821842369411436,16269.2049923506,7651.230288951092,200
RandomForest+PseudoHuber,,engineSize,4,-0.2777471326880916,16199.161895706246,7515.10379682447,200
RandomForest+PseudoHuber,,engineSize,4,-0.09727584168206871,16196.87799919784,7508.206900368425,200
