outer_fold,model,R2,MAE,MedAE,MSE,RMSE
2,XGBoost+PseudoHuber,0.9635437919820544,1090.762177778187,709.06494140625,3432680.904449698,1852.7495525433808
2,NeuralNetwork,0.9551335597082423,1264.2634776981022,808.50439453125,4224580.152832595,2055.3783478553514
3,LinearRegression,-43.5282508865982,2198.6750097260397,1113.5460052832796,4358431213.236262,66018.41571286198
3,DecisionTree,0.9440435720402437,1280.8889316193993,800.2172075782555,5477022.72928062,2340.3039822383375
3,DecisionTree+ElasticNet,0.9440717345863338,1281.071629428727,799.5394452562832,5474266.175464128,2339.7149773987703
3,DecisionTree+Huber,0.9440865742542469,1280.5930442503416,800.7239013988765,5472813.666763723,2339.4045538905243
3,DecisionTree+PseudoHuber,0.9440151144356197,1280.1428855974993,801.1296834642126,5479808.163466283,2340.899007532423
3,RandomForest,0.9610335821303138,1086.9457166721252,702.2734109505154,3814038.246051182,1952.9562837020142
3,RandomForest+ElasticNet,0.9610534097390937,1087.0182786718062,703.4879578601267,3812097.517024785,1952.4593509276408
3,RandomForest+Huber,0.9544650017277156,1146.1934815748382,723.8709143271008,4456971.783374377,2111.1541353900184
3,RandomForest+PseudoHuber,0.9561337826184246,1150.3004675685418,731.7552556479477,4293631.284313653,2072.1079325927144
3,XGBoost,0.9608352762193961,1136.1706234916128,733.248046875,3833448.455405997,1957.9194200492514
3,XGBoost+ElasticNet,0.9610999455847613,1128.0627234396857,729.646484375,3807542.58216312,1951.292541410211
3,XGBoost+Huber,0.9603216742642333,1121.7102453215755,724.3095703125,3883719.884172909,1970.7155766809449
3,XGBoost+PseudoHuber,0.9632154351578754,1090.484579895607,712.73828125,3600478.176911322,1897.4926025972597
3,NeuralNetwork,0.9378695179387202,1331.5683984661762,834.546875,6081339.978948025,2466.03730282979
4,LinearRegression,0.9117017629188405,1731.8179763657927,1100.598949240658,8680313.837654877,2946.237233770369
4,DecisionTree,0.9546596780034616,1267.9543440012865,798.7359064981356,4457260.274274003,2111.222459683963
4,DecisionTree+ElasticNet,0.9546704553708666,1268.0330143383821,800.4835158763381,4456200.786174231,2110.9715266138082
4,DecisionTree+Huber,0.9546479834930548,1267.8781996954797,798.832414444365,4458409.923733203,2111.4947131672393
4,DecisionTree+PseudoHuber,0.9548463269888072,1266.649506762798,799.1753002967635,4438911.416767477,2106.872425365968
4,RandomForest,0.9640392453788629,1152.3928190369445,745.2744623961789,3535185.370274769,1880.2088634709626
4,RandomForest+ElasticNet,0.9642089050881418,1152.7927870601875,743.907843380428,3518506.673498602,1875.7682888615539
4,RandomForest+Huber,0.9639368222123276,1152.6854703497681,740.1491303040366,3545254.260200126,1882.8845583837917
4,RandomForest+PseudoHuber,0.9676597948831225,1130.006017932726,735.973135833874,3179260.8693942763,1783.0481960379748
4,XGBoost,0.9678248343442721,1090.1741239748974,701.443359375,3163036.3742544707,1778.4927253869976
4,XGBoost+ElasticNet,0.9685512118584525,1077.664157426483,691.2314453125,3091628.552353051,1758.3027476384864
4,XGBoost+Huber,0.9692793692130891,1097.1283163040007,712.8427734375,3020045.7600982925,1737.827885637209
4,XGBoost+PseudoHuber,0.9695410381730174,1066.016689479955,691.185546875,2994321.9317543204,1730.4109141340737
4,NeuralNetwork,0.9541518890330463,1286.6451174861068,812.744140625,4507179.364079316,2123.0118615022657
5,LinearRegression,0.902455750241372,1739.2306902778564,1105.0143044763681,9440481.276962359,3072.5366193037244
5,DecisionTree,0.9421506176363684,1316.2933303147943,813.5757503362092,5598751.463454606,2366.1680970409957
5,DecisionTree+ElasticNet,0.9421468190423605,1316.3478844061667,813.3746643770519,5599119.097176733,2366.245781227456
5,DecisionTree+Huber,0.9421465614996589,1315.9424586000366,814.4022614532205,5599144.022552219,2366.251048082646
5,DecisionTree+PseudoHuber,0.9441285894778823,1296.837031270909,805.2012175814089,5407320.331610587,2325.3645588618115
5,RandomForest,0.955244179173321,1154.4292945068573,732.9076648128612,4331536.606154191,2081.234394813374
5,RandomForest+ElasticNet,0.9553024951797231,1154.9530293526532,732.3573633733195,4325892.694104558,2079.878047892366
5,RandomForest+Huber,0.9507874068425566,1178.4784679483055,744.6406872325388,4762869.830289682,2182.400016103758
5,RandomForest+PseudoHuber,0.9584391477490726,1135.9818364457253,727.2908872136923,4022322.6740720724,2005.5729042027049
5,XGBoost,0.9586600140904125,1104.5735939773165,686.890625,4000946.892667333,2000.2367091590268
5,XGBoost+ElasticNet,0.9595056550684824,1091.2196827360763,678.92333984375,3919104.468944193,1979.6728186607486
5,XGBoost+Huber,0.9583415078080022,1129.4359570354345,720.6220703125,4031772.4165001446,2007.927393234164
5,XGBoost+PseudoHuber,0.959759013864197,1096.332091100575,693.689453125,3894584.0182439564,1973.4700449320117
5,NeuralNetwork,0.9442647360588854,1431.5978897478562,968.03125,5394143.857835214,2322.5296247486735
