model,base_model,residual_kind,metric,direction,parameter,parameter_type,n_trials,n_unique,sensitivity,spearman_corr,best_value,worst_value,score_mean,score_std
FTTransformer,FTTransformer,None,mae,minimize,epochs,numeric,15,15,0.03214285714285714,-0.03214285714285714,46.17583357287786,43.36196933689591,1123.8628768576236,96.80847034237571
FTTransformer,FTTransformer,None,mae,minimize,n_blocks,numeric,15,15,0.028571428571428564,-0.028571428571428564,1.9722868788938006,1.9094414138533446,1123.8628768576236,96.80847034237571
NeuralNetwork,NeuralNetwork,None,mae,minimize,dropout,numeric,15,15,0.37499999999999994,-0.37499999999999994,0.37767490732078524,0.29413715475190666,1114.2850491597019,127.56827350040619
NeuralNetwork,NeuralNetwork,None,mae,minimize,units_layer_3,numeric,15,15,0.2642857142857143,0.2642857142857143,144.6641169094069,148.58291612892762,1114.2850491597019,127.56827350040619
NeuralNetwork,NeuralNetwork,None,mae,minimize,learning_rate,numeric,15,15,0.25,-0.25,0.0010912931246018008,0.0008910912006069968,1114.2850491597019,127.56827350040619
NeuralNetwork,NeuralNetwork,None,mae,minimize,weight_decay,numeric,15,15,0.24642857142857136,0.24642857142857136,3.587322142092511e-05,3.6076163495464344e-05,1114.2850491597019,127.56827350040619
NeuralNetwork,NeuralNetwork,None,mae,minimize,units_layer_1,numeric,15,15,0.2071428571428571,0.2071428571428571,192.58433603585468,162.83081905716998,1114.2850491597019,127.56827350040619
NeuralNetwork,NeuralNetwork,None,mae,minimize,units_layer_2,numeric,15,15,0.16428571428571426,0.16428571428571426,194.47336004221023,225.03132682465986,1114.2850491597019,127.56827350040619
NeuralNetwork,NeuralNetwork,None,mae,minimize,units_layer_4,numeric,15,15,0.05714285714285713,-0.05714285714285713,101.02084244631213,104.31651737962684,1114.2850491597019,127.56827350040619
NeuralNetwork,NeuralNetwork,None,mae,minimize,n_layers,numeric,15,15,0.017857142857142853,0.017857142857142853,3.564955738090476,3.7968602772978084,1114.2850491597019,127.56827350040619
NeuralNetwork,NeuralNetwork,None,mae,minimize,momentum,numeric,15,15,0.007142857142857141,-0.007142857142857141,0.4038402390543657,0.40695714193531535,1114.2850491597019,127.56827350040619
RandomForest,RandomForest,None,mae,minimize,n_jobs,numeric,15,15,0.3928571428571428,0.3928571428571428,-1.0320382760396347,-0.9440841323877344,1107.9937225612482,108.25699766524245
RandomForest,RandomForest,None,mae,minimize,min_samples_leaf,numeric,15,15,0.30357142857142855,0.30357142857142855,3.607234657028746,2.734256627888797,1107.9937225612482,108.25699766524245
RandomForest,RandomForest,None,mae,minimize,max_depth,numeric,15,15,0.12857142857142856,0.12857142857142856,26.847791171524943,29.31125544733252,1107.9937225612482,108.25699766524245
RandomForest,RandomForest,None,mae,minimize,max_features,numeric,15,15,0.0857142857142857,0.0857142857142857,0.9022726686914668,0.818094969435197,1107.9937225612482,108.25699766524245
RandomForest,RandomForest,None,mae,minimize,n_estimators,numeric,15,15,0.014285714285714282,0.014285714285714282,975.0354486782403,962.4212753443331,1107.9937225612482,108.25699766524245
RandomForest,RandomForest,None,mae,minimize,min_samples_split,numeric,15,15,0.010714285714285713,0.010714285714285713,15.394615127579838,17.880426816920632,1107.9937225612482,108.25699766524245
SVR,SVR,None,mae,minimize,epsilon,numeric,15,15,0.3071428571428571,-0.3071428571428571,0.13327696955729768,0.11385113903352846,1121.5866738987947,82.29760936771467
SVR,SVR,None,mae,minimize,gamma,numeric,15,15,0.2571428571428571,0.2571428571428571,0.8847987262052072,0.857121521984612,1121.5866738987947,82.29760936771467
SVR,SVR,None,mae,minimize,C,numeric,15,15,0.007142857142857141,0.007142857142857141,9.938993665065752,10.37287228382805,1121.5866738987947,82.29760936771467
TabNet,TabNet,None,mae,minimize,n_d,numeric,15,15,0.457142857142857,-0.457142857142857,38.10716869097069,36.09964291457673,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,max_epochs,numeric,15,15,0.23928571428571427,0.23928571428571427,41.401851207979256,48.180914191087865,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,gamma,numeric,15,15,0.2071428571428571,0.2071428571428571,1.2467689136570779,1.2471887062249631,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,batch_size,numeric,15,15,0.15714285714285714,0.15714285714285714,260.8679079751836,278.7510263373332,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,n_steps,numeric,15,15,0.11785714285714284,0.11785714285714284,2.7141045038575498,2.95686850133183,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,virtual_batch_size,numeric,15,15,0.10714285714285714,0.10714285714285714,61.666491757009574,59.54788991797588,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,learning_rate,numeric,15,15,0.06071428571428571,-0.06071428571428571,0.01471632477815932,0.015331636879937986,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,n_a,numeric,15,15,0.05357142857142857,0.05357142857142857,27.62746341768446,21.770498792490994,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,patience,numeric,15,15,0.024999999999999998,0.024999999999999998,11.427141811618897,8.5447187756418,1076.5403535672024,65.6358822019967
TabNet,TabNet,None,mae,minimize,lambda_sparse,numeric,15,15,0.014285714285714282,0.014285714285714282,5.7962964554163014e-05,5.5929517397161396e-05,1076.5403535672024,65.6358822019967
XGBoost,XGBoost,None,mae,minimize,reg_alpha,numeric,15,15,0.6928571428571427,-0.6928571428571427,0.10504411712423824,0.07768804947882785,1085.42646676699,115.6244940011659
XGBoost,XGBoost,None,mae,minimize,n_jobs,numeric,15,15,0.5714285714285713,-0.5714285714285713,-1.0418100431078818,-1.0295439277561818,1085.42646676699,115.6244940011659
XGBoost,XGBoost,None,mae,minimize,colsample_bytree,numeric,15,15,0.4928571428571427,-0.4928571428571427,0.8154069839382171,0.6973777811201203,1085.42646676699,115.6244940011659
XGBoost,XGBoost,None,mae,minimize,max_depth,numeric,15,15,0.2928571428571428,0.2928571428571428,8.014701631249345,9.363602557625136,1085.42646676699,115.6244940011659
XGBoost,XGBoost,None,mae,minimize,learning_rate,numeric,15,15,0.2714285714285714,-0.2714285714285714,0.08017076733068991,0.07149357921886747,1085.42646676699,115.6244940011659
XGBoost,XGBoost,None,mae,minimize,min_child_weight,numeric,15,15,0.24285714285714283,0.24285714285714283,3.824742238694845,3.5176980393428368,1085.42646676699,115.6244940011659
XGBoost,XGBoost,None,mae,minimize,early_stopping_rounds,numeric,15,15,0.20357142857142854,-0.20357142857142854,131.83227555230965,119.58603398398272,1085.42646676699,115.6244940011659
XGBoost,XGBoost,None,mae,minimize,n_estimators,numeric,15,15,0.05357142857142857,-0.05357142857142857,1380.8730106967246,1077.0848016270525,1085.42646676699,115.6244940011659
XGBoost,XGBoost,None,mae,minimize,subsample,numeric,15,15,0.010714285714285713,0.010714285714285713,1.0289213326239337,0.899125384238571,1085.42646676699,115.6244940011659
